#
#
#   Lonertzian-smoothed PARTICLE spectral function (both aprticle and hole) as
#  function of momentum and energy
#
#      Range [Ef+ -:- E_max] = -43.7967  -:-  246.649 MeV
#
#      E_F = -50.9208 MeV
#
#
#    k              E               A(k,E)

0    223.383       4.38727e-06
0    224.083       4.28786e-06
0    224.783       4.2093e-06
0    225.483       4.14553e-06
0    226.183       4.09272e-06
0    226.883       4.0484e-06
0    227.583       4.01096e-06
0    228.283       3.97937e-06
0    228.983       3.95304e-06
0    229.683       3.93168e-06
0    230.383       3.91537e-06
0    231.083       3.90447e-06
0    231.783       3.89976e-06
0    232.483       3.90255e-06
0    233.183       3.91495e-06
0    233.883       3.94035e-06
0    234.583       3.98424e-06
0    235.283       4.05602e-06
0    235.983       4.17247e-06
0    236.683       4.36567e-06
0    237.383       4.70175e-06
0    238.083       5.32586e-06
0    238.783       6.54127e-06
0    239.483       8.55336e-06
0    240.183       9.42073e-06
0    240.883       7.83668e-06
0    241.583       6.67759e-06
0    242.283       6.62638e-06
0    242.983       7.72108e-06
0    243.683       9.99098e-06
0    244.383       1.07193e-05
0    245.083       8.2252e-06
0    245.783       6.12821e-06
0    246.483       5.01427e-06
0    247.183       4.41731e-06
0    247.883       4.06862e-06
0    248.583       3.84696e-06
0    249.283       3.69565e-06
0    249.983       3.58613e-06
0    250.683       3.50296e-06
0    251.383       3.43722e-06
0    252.083       3.3835e-06
0    252.783       3.33833e-06
0    253.483       3.29945e-06
0    254.183       3.2653e-06


0.805283    -49.7967       0.00130336
0.805283    -49.6767       0.00127186
0.805283    -49.5567       0.0012416
0.805283    -49.4367       0.00121252
0.805283    -49.3167       0.00118457
0.805283    -49.1967       0.00115768
0.805283    -49.0767       0.00113179
0.805283    -48.9567       0.00110687
0.805283    -48.8367       0.00108286
0.805283    -48.7167       0.00105971
0.805283    -48.5967       0.00103739
0.805283    -48.4767       0.00101586
0.805283    -48.3567       0.00099507
0.805283    -48.2367       0.000974995
0.805283    -48.1167       0.000955601
0.805283    -47.9967       0.000936856
0.805283    -47.8767       0.000918732
0.805283    -47.7567       0.000901199
0.805283    -47.6367       0.000884234
0.805283    -47.5167       0.00086781
0.805283    -47.3967       0.000851906
0.805283    -47.2767       0.000836497
0.805283    -47.1567       0.000821565
0.805283    -47.0367       0.000807089
0.805283    -46.9167       0.00079305
0.805283    -46.7967       0.000779431
0.805283    -46.6767       0.000766214
0.805283    -46.5567       0.000753385
0.805283    -46.4367       0.000740927
0.805283    -46.3167       0.000728826
0.805283    -46.1967       0.000717068
0.805283    -46.0767       0.000705641
0.805283    -45.9567       0.000694532
0.805283    -45.8367       0.000683729
0.805283    -45.7167       0.000673221
0.805283    -45.5967       0.000662997
0.805283    -45.4767       0.000653046
0.805283    -45.3567       0.00064336
0.805283    -45.2367       0.000633929
0.805283    -45.1167       0.000624743
0.805283    -44.9967       0.000615795
0.805283    -44.8767       0.000607076
0.805283    -44.7567       0.000598578
0.805283    -44.6367       0.000590294
0.805283    -44.5167       0.000582217
0.805283    -44.3967       0.000574341
0.805283    -44.2767       0.000566658
0.805283    -44.1567       0.000559162
0.805283    -44.0367       0.000551848
0.805283    -43.9167       0.000544709
0.805283    -43.7967       0.00053774
0.805283    -43.6767       0.000530937
0.805283    -43.5567       0.000524293
0.805283    -43.4367       0.000517804
0.805283    -43.3167       0.000511466
0.805283    -43.1967       0.000505274
0.805283    -43.0767       0.000499223
0.805283    -42.9567       0.00049331
0.805283    -42.8367       0.00048753
0.805283    -42.7167       0.000481881
0.805283    -42.5967       0.000476357
0.805283    -42.4767       0.000470956
0.805283    -42.3567       0.000465675
0.805283    -42.2367       0.000460509
0.805283    -42.1167       0.000455457
0.805283    -41.9967       0.000450514
0.805283    -41.8767       0.000445679
0.805283    -41.7567       0.000440948
0.805283    -41.6367       0.000436318
0.805283    -41.5167       0.000431788
0.805283    -41.3967       0.000427354
0.805283    -41.2767       0.000423014
0.805283    -41.1567       0.000418767
0.805283    -41.0367       0.000414609
0.805283    -40.9167       0.000410539
0.805283    -40.7967       0.000406554
0.805283    -40.6767       0.000402653
0.805283    -40.5567       0.000398834
0.805283    -40.4367       0.000395094
0.805283    -40.3167       0.000391433
0.805283    -40.1967       0.000387849
0.805283    -40.0767       0.000384339
0.805283    -39.9567       0.000380902
0.805283    -39.8367       0.000377538
0.805283    -39.7167       0.000374244
0.805283    -39.5967       0.000371019
0.805283    -39.4767       0.000367861
0.805283    -39.3567       0.00036477
0.805283    -39.2367       0.000361744
0.805283    -39.1167       0.000358782
0.805283    -38.9967       0.000355884
0.805283    -38.8767       0.000353047
0.805283    -38.7567       0.000350271
0.805283    -38.6367       0.000347554
0.805283    -38.5167       0.000344897
0.805283    -38.3967       0.000342298
0.805283    -38.2767       0.000339756
0.805283    -38.1567       0.00033727
0.805283    -38.0367       0.00033484
0.805283    -37.9167       0.000332466
0.805283    -37.7967       0.000330145
0.805283    -37.6767       0.000327878
0.805283    -37.5567       0.000325664
0.805283    -37.4367       0.000323503
0.805283    -37.3167       0.000321394
0.805283    -37.1967       0.000319336
0.805283    -37.0767       0.000317329
0.805283    -36.9567       0.000315374
0.805283    -36.8367       0.000313468
0.805283    -36.7167       0.000311613
0.805283    -36.5967       0.000309808
0.805283    -36.4767       0.000308052
0.805283    -36.3567       0.000306346
0.805283    -36.2367       0.000304689
0.805283    -36.1167       0.000303081
0.805283    -35.9967       0.000301523
0.805283    -35.8767       0.000300014
0.805283    -35.7567       0.000298554
0.805283    -35.6367       0.000297143
0.805283    -35.5167       0.000295782
0.805283    -35.3967       0.000294471
0.805283    -35.2767       0.00029321
0.805283    -35.1567       0.000291999
0.805283    -35.0367       0.000290839
0.805283    -34.9167       0.00028973
0.805283    -34.7967       0.000288672
0.805283    -34.6767       0.000287667
0.805283    -34.5567       0.000286715
0.805283    -34.4367       0.000285816
0.805283    -34.3167       0.000284971
0.805283    -34.1967       0.000284182
0.805283    -34.0767       0.000283448
0.805283    -33.9567       0.000282772
0.805283    -33.8367       0.000282154
0.805283    -33.7167       0.000281596
0.805283    -33.5967       0.000281098
0.805283    -33.4767       0.000280663
0.805283    -33.3567       0.000280292
0.805283    -33.2367       0.000279986
0.805283    -33.1167       0.000279748
0.805283    -32.9967       0.000279579
0.805283    -32.8767       0.000279482
0.805283    -32.7567       0.000279458
0.805283    -32.6367       0.000279511
0.805283    -32.5167       0.000279643
0.805283    -32.3967       0.000279858
0.805283    -32.2767       0.000280157
