#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 2.27768 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-77.872       3.7779e-05       2.27768
-77.752       3.75017e-05       2.27768
-77.632       3.7247e-05       2.27768
-77.512       3.70131e-05       2.27768
-77.392       3.67983e-05       2.27768
-77.272       3.6601e-05       2.27768
-77.152       3.64199e-05       2.27768
-77.032       3.62538e-05       2.27768
-76.912       3.61016e-05       2.27768
-76.792       3.59621e-05       2.27768
-76.672       3.58346e-05       2.27768
-76.552       3.57181e-05       2.27768
-76.432       3.56118e-05       2.27768
-76.312       3.55152e-05       2.27768
-76.192       3.54275e-05       2.27768
-76.072       3.53481e-05       2.27768
-75.952       3.52766e-05       2.27768
-75.832       3.52123e-05       2.27768
-75.712       3.51549e-05       2.27768
-75.592       3.5104e-05       2.27768
-75.472       3.50591e-05       2.27768
-75.352       3.50199e-05       2.27768
-75.232       3.4986e-05       2.27768
-75.112       3.49572e-05       2.27768
-74.992       3.49332e-05       2.27768
-74.872       3.49137e-05       2.27768
-74.752       3.48984e-05       2.27768
-74.632       3.48872e-05       2.27768
-74.512       3.48799e-05       2.27768
-74.392       3.48761e-05       2.27768
-74.272       3.48759e-05       2.27768
-74.152       3.48789e-05       2.27768
-74.032       3.4885e-05       2.27768
-73.912       3.48941e-05       2.27768
-73.792       3.4906e-05       2.27768
-73.672       3.49207e-05       2.27768
-73.552       3.49379e-05       2.27768
-73.432       3.49576e-05       2.27768
-73.312       3.49797e-05       2.27768
-73.192       3.5004e-05       2.27768
-73.072       3.50305e-05       2.27768
-72.952       3.50591e-05       2.27768
-72.832       3.50897e-05       2.27768
-72.712       3.51223e-05       2.27768
-72.592       3.51566e-05       2.27768
-72.472       3.51928e-05       2.27768
-72.352       3.52306e-05       2.27768
-72.232       3.52702e-05       2.27768
-72.112       3.53113e-05       2.27768
-71.992       3.53539e-05       2.27768
-71.872       3.53981e-05       2.27768
-71.752       3.54436e-05       2.27768
-71.632       3.54906e-05       2.27768
-71.512       3.55389e-05       2.27768
-71.392       3.55886e-05       2.27768
-71.272       3.56395e-05       2.27768
-71.152       3.56916e-05       2.27768
-71.032       3.57449e-05       2.27768
-70.912       3.57994e-05       2.27768
-70.792       3.5855e-05       2.27768
-70.672       3.59117e-05       2.27768
-70.552       3.59695e-05       2.27768
-70.432       3.60284e-05       2.27768
-70.312       3.60882e-05       2.27768
-70.192       3.61491e-05       2.27768
-70.072       3.62109e-05       2.27768
-69.952       3.62737e-05       2.27768
-69.832       3.63374e-05       2.27768
-69.712       3.6402e-05       2.27768
-69.592       3.64675e-05       2.27768
-69.472       3.65339e-05       2.27768
-69.352       3.66011e-05       2.27768
-69.232       3.66692e-05       2.27768
-69.112       3.67381e-05       2.27768
-68.992       3.68078e-05       2.27768
-68.872       3.68782e-05       2.27768
-68.752       3.69495e-05       2.27768
-68.632       3.70216e-05       2.27768
-68.512       3.70944e-05       2.27768
-68.392       3.71679e-05       2.27768
-68.272       3.72422e-05       2.27768
-68.152       3.73172e-05       2.27768
-68.032       3.73929e-05       2.27768
-67.912       3.74693e-05       2.27768
-67.792       3.75465e-05       2.27768
-67.672       3.76243e-05       2.27768
-67.552       3.77028e-05       2.27768
-67.432       3.77819e-05       2.27768
-67.312       3.78617e-05       2.27768
-67.192       3.79422e-05       2.27768
-67.072       3.80233e-05       2.27768
-66.952       3.81051e-05       2.27768
-66.832       3.81875e-05       2.27768
-66.712       3.82706e-05       2.27768
-66.592       3.83543e-05       2.27768
-66.472       3.84386e-05       2.27768
-66.352       3.85235e-05       2.27768
-66.232       3.8609e-05       2.27768
