#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 0 fm^-1 (group = 0)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

150.273       0.00699048
150.289       4.05177e-17
151.35       5.32631e-17
151.941       1.96722e-17
152.363       2.25629e-18
165.61       2.75394e-16
165.823       0.00940831
165.841       2.1874e-16
166.742       0.00258984
166.87       0.00839083
167.917       2.49922e-17
168.899       0.0100198
169.146       9.58961e-17
170.551       1.47858e-16
171.501       0.00607562
171.988       0.000378702
173.211       0.00576413
173.49       0.00455766
174.865       5.64125e-17
176.219       0.00567695
176.268       4.75151e-17
177.794       7.34735e-17
178.694       8.34103e-17
179.547       0.000314239
180.828       1.74226e-17
182.918       8.41401e-17
183.885       4.4565e-17
184.758       0.0023687
185.01       7.67754e-17
186.237       6.18044e-17
187.375       2.14328e-17
187.761       0.00356712
188.636       2.21849e-17
189.093       1.07443e-17
190.073       1.29018e-16
193.419       0.00954679
193.524       7.95301e-17
194.299       1.10283e-16
195.048       9.8181e-17
196.573       4.74204e-18
197.38       0.00653297
197.508       9.92039e-17
198.82       4.64522e-16
199.417       0.00884575
199.473       2.56571e-16
200.949       3.03233e-17
202.002       2.99117e-17
203.052       1.21783e-16
203.13       0.00477238
203.913       2.24296e-16
205.007       9.41708e-17
205.519       0.00436741
205.995       1.03417e-17
207.073       7.42248e-20
207.931       1.05593e-17
208.664       2.06078e-17
209.127       0.000837612
209.837       5.06989e-17
210.959       3.40089e-18
211.24       0.00314683
211.807       1.15329e-16
212.625       2.79724e-17
212.924       0.00144703
213.255       3.06094e-17
213.768       1.38155e-17
214.891       1.68393e-17
215.27       9.36351e-18
215.496       0.00234637
215.709       6.54697e-17
216.074       1.26822e-16
216.612       9.80046e-18
216.902       1.85285e-17
217.322       1.28196e-17
217.486       0.0057246
217.69       1.0783e-17
217.94       3.25694e-18
218.159       4.59545e-18
218.249       1.38993e-17
218.312       3.76261e-17
219.248       3.19497e-17
219.552       1.40297e-17
237.602       3.84044e-17
237.602       3.39306e-18
239.629       5.84969e-17
239.744       6.74005e-20
239.999       0.0045562
240.438       3.55061e-18
240.467       3.70666e-17
240.481       3.82832e-17
240.483       3.8702e-17
240.522       2.91094e-17
240.572       1.99521e-17
240.854       8.178e-17
241.497       3.20696e-17
241.811       3.69105e-17
241.923       4.64616e-17
241.931       7.26052e-18
243.473       1.8974e-17
243.584       4.75593e-17
243.87       3.5404e-17
243.898       4.92404e-17
243.912       2.26723e-17
244.127       2.27151e-17
244.187       0.00520304
244.872       9.21986e-17
245.024       7.82302e-18
245.028       4.66688e-17
245.034       7.39268e-19
245.083       2.10744e-18
245.2       2.17022e-17
245.204       6.93376e-17
245.286       2.28523e-17
245.376       2.76719e-17
245.74       9.09641e-18
245.757       1.716e-17
245.774       1.18747e-17
245.795       2.91925e-17
245.798       6.95288e-18
245.817       2.08346e-16
246.526       6.33792e-18
246.575       4.00866e-20
246.584       1.62881e-19
246.584       1.94595e-17
246.649       2.0321e-17
